scheme,replicate,k,bootstrap_n,n_components,ari_vs_baseline,matched_jaccard_vs_baseline,silhouette
household_bootstrap,30,2,5605,9,0.916858231790416,0.9580638583643997,0.15410707140426533
household_bootstrap,30,3,5605,9,0.2344520850244487,0.3598978033030864,0.1240983188045656
household_bootstrap,30,4,5605,9,0.9198811304209854,0.9345055110457026,0.12489927688671491
household_bootstrap,30,5,5605,9,0.9063349693348617,0.9128493431968178,0.11567342503118197
household_bootstrap,30,6,5605,9,0.7109008245284251,0.6335501872517307,0.11626678607826575
household_bootstrap,30,7,5605,9,0.4869395685529893,0.49064687048068223,0.1181430591984523
household_bootstrap,30,8,5605,9,0.6520734453039184,0.6712095349521203,0.12634234348445822
household_bootstrap,31,2,5605,9,0.9695383121868664,0.984580298458944,0.15144632180737705
household_bootstrap,31,3,5605,9,0.24026248616991133,0.37245641840941196,0.13075615554604883
household_bootstrap,31,4,5605,9,0.931424649564218,0.9455414364929174,0.12611308744608907
household_bootstrap,31,5,5605,9,0.9299188966067093,0.9355754538564621,0.12495886307384771
household_bootstrap,31,6,5605,9,0.8982435935233773,0.8790605140158071,0.1285712389405641
household_bootstrap,31,7,5605,9,0.6608982778187374,0.7199751556836932,0.12265327776810621
household_bootstrap,31,8,5605,9,0.6919869004445566,0.689141768613621,0.13152418016000297
household_bootstrap,32,2,5605,9,0.9653257681195834,0.9824575555996823,0.15778464165182016
household_bootstrap,32,3,5605,9,0.9628444185157056,0.9708264304514026,0.1260435599497065
household_bootstrap,32,4,5605,9,0.9184771610753758,0.9285289047888835,0.12096176789174494
household_bootstrap,32,5,5605,9,0.9403392351446116,0.9434678067444919,0.12393185246170514
household_bootstrap,32,6,5605,9,0.7353482574014026,0.6707090861448238,0.12175322685614785
household_bootstrap,32,7,5605,9,0.6103318535048498,0.6644216166174681,0.12551195625237488
household_bootstrap,32,8,5605,9,0.5456180703648794,0.6487281256552954,0.11997514157073574
household_bootstrap,33,2,5605,9,0.963922313942905,0.9817246896493,0.15277498554725255
household_bootstrap,33,3,5605,9,0.9711316683954098,0.9788644643988583,0.1339247406679695
household_bootstrap,33,4,5605,9,0.9367666348546276,0.9475564771971712,0.13421676839034194
household_bootstrap,33,5,5605,9,0.9189019561905424,0.9255881754808725,0.1335633766215662
household_bootstrap,33,6,5605,9,0.932134798404302,0.9058935305329063,0.13175480872254453
household_bootstrap,33,7,5605,9,0.89876381721712,0.8830845055901887,0.13406476554276228
household_bootstrap,33,8,5605,9,0.801501171871394,0.8242005115505462,0.12328880301518366
household_bootstrap,34,2,5605,9,0.9639212761759931,0.9817047089177937,0.14630540602601427
household_bootstrap,34,3,5605,9,0.9583314953865903,0.9687379429320845,0.13028972296877953
household_bootstrap,34,4,5605,9,0.9256210332861874,0.9381434381718103,0.12126675678230614
household_bootstrap,34,5,5605,9,0.9274737924753277,0.926502245961586,0.1202448352569601
household_bootstrap,34,6,5605,9,0.6842089529939561,0.6403503187631313,0.11559919381508726
household_bootstrap,34,7,5605,9,0.573468451412625,0.6370790606996553,0.12296998264140663
household_bootstrap,34,8,5605,9,0.9322032473551041,0.9216531036238245,0.11446317795811659
household_bootstrap,35,2,5605,9,0.9209496080317713,0.959849657587363,0.14276362058912437
household_bootstrap,35,3,5605,9,0.905596771375011,0.9255196999544881,0.11752005831808655
household_bootstrap,35,4,5605,9,0.37667217704018147,0.5331401353675909,0.12399384566252744
household_bootstrap,35,5,5605,9,0.8758794731417732,0.8836701187283567,0.11997348745476688
household_bootstrap,35,6,5605,9,0.6600775007290038,0.612321029633403,0.11860170817607785
household_bootstrap,35,7,5605,9,0.4824472780646825,0.491616195341816,0.11808141792272644
household_bootstrap,35,8,5605,9,0.7021983675813296,0.7005172003362601,0.12268696485671844
household_bootstrap,36,2,5605,9,0.9632214922802503,0.981368964724892,0.15196259479445284
household_bootstrap,36,3,5605,9,0.23220125673035713,0.3691096979912043,0.1317681056943866
household_bootstrap,36,4,5605,9,0.37708902854845094,0.5378353980447197,0.12820915770004035
household_bootstrap,36,5,5605,9,0.8356398337210604,0.8507011048693698,0.11723889150713203
